Timestamp,OS,Machine_ID,Hostname,RAM_Usage_MB,Swap_Usage_MB,CPU_Usage,Page_Faults
1747070914.105739,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3097.453125,129173606.703125,10.0,1373120
1747070914.6113448,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3105.234375,129173606.734375,0.0,1373150
1747070915.112562,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3088.046875,129173598.15625,18.1,1373150
1747070915.614638,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3087.234375,129173586.1875,0.0,1373151
1747070916.120054,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3088.546875,129173585.09375,10.5,1373151
1747070916.624373,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3107.109375,129173534.546875,0.0,1373152
1747070917.130486,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3093.390625,129173534.546875,22.8,1373152
1747070917.6350951,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3055.65625,129173532.359375,8.6,1373155
1747070918.137273,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3062.296875,129173534.453125,31.1,1373155
1747070918.6427178,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3062.296875,129173535.421875,0.0,1373156
1747070919.1471648,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3084.640625,129173533.78125,11.7,1373156
1747070919.6514812,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3081.40625,129173531.203125,10.5,1373167
1747070920.157312,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3112.09375,128756570.109375,15.4,1373167
1747070920.6629498,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3104.625,128756576.453125,16.8,1373168
1747070921.168772,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3097.734375,128756579.171875,15.7,1373168
1747070921.672315,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3111.9375,128756576.984375,0.0,1373169
1747070922.17393,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3111.9375,128756574.875,0.0,1373169
1747070922.6794848,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3092.921875,128756575.96875,0.0,1373170
1747070923.185419,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3093.171875,128756576.671875,0.0,1373170
1747070923.686465,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3101.3125,128756575.578125,25.6,1373172
1747070924.1984289,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3101.3125,128756593.953125,0.0,1373172
1747070924.704111,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3091.140625,128756592.84375,0.0,1373183
1747070925.206935,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3060.78125,128756592.296875,0.0,1373183
1747070925.7150998,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3092.703125,128756581.5,13.5,1373184
1747070926.219693,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3092.703125,128756582.265625,0.0,1373184
1747070926.7253609,Darwin,Rahuls-Mac-mini.local_Rahuls-Mac-mini.local,Rahuls-Mac-mini.local,3118.484375,128756586.203125,0.0,1373188
